WordSequence,Predicate,StartOfDialogueAgent,EndOfDialogueAgent,StartOfDialogue,EndOfDialogue
"['宋廷?', '嘴唇干?', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['魏?', '反?', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?女', '?命', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['侍??', '回复', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?公主', '言?意?', '的', '?', ':', '「', '??', '?容', '」']",3,0,0,1,2
"['?青', '回答', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['褚采薇', '?', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?七安', '???山', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['魏?', '?重心?', '的', '?', ':', '「', '??', '?容', '」']",3,0,0,1,2
"['?七安', '???山', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?府尹', '大惊失色', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['太子', '???', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?七安', '不卑不亢', '的', '?', ':', '「', '??', '?容', '」']",3,0,0,1,2
"['?七安?', '口气', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['褚采薇?呼一', '?', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['侍??子', '好言好?', '的', '?', ':', '「', '??', '?容', '」']",3,0,0,1,2
"['她', '委屈', '的', '?', ':', '「', '??', '?容', '」']",3,0,0,1,2
"['方丈', '??', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['??方丈', '回答', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['元景帝', '?斥??', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['元景帝', '大喊', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?七安', '回答', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['太子', '接?', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['??', '唉??气', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?二叔', '?不在乎', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?房老?', '喜?', '的', '?', ':', '「', '??', '?容', '」']",3,0,0,1,2
"['?七安', '反?', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['平?伯嫡子', '???口', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?二叔', '催促', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?七安', '回答', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?公公??', '?手', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?王', '苦笑一?', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?七安', '大喊', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['橘?', '???', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?七安', '回答', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['他', '眯?', '眼', '?', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['姜律中', '回答', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['李玉春', '猜?', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?七安', '抱拳', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['朱?孝', '言?意?', '的', '?', ':', '「', '??', '?容', '」']",3,0,0,1,2
"['浮香', '???', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['李玉春', '一愣', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['魏?', '??身?', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['魏?', '?首', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['??', '??', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?七安', '招手', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['姜律中', '?眉', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['魏?', '??', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['元景帝', '??手', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?七安', '回答', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?七安', '拍?屁', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?七安', '?真', '的', '?', ':', '「', '??', '?容', '」']",3,0,0,1,2
"['?七安', '不??色', '的', '?道', ':', '「', '??', '?容', '」']",3,0,0,1,2
"['一', '位', '??', '?', ':', '「', '??', '?容', '」']",3,0,2,5,8
"['客人?', '神色大?', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['??泰', '??', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?尚?', '?手而立', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['官?', '回复', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['??', '生气', '的', '?', ':', '「', '??', '?容', '」']",3,0,0,1,2
"['姜律中', '??', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?火', '的', '?娘', '?', ':', '「', '??', '?容', '」']",3,0,2,5,8
"['?娘', '激?', '的', '?', ':', '「', '??', '?容', '」']",3,0,0,1,2
"['他', '震惊', '的', '?', ':', '「', '??', '?容', '」']",3,0,0,1,2
"['褚采薇', '茫然', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,1,1
"['?七安', '矜持', '的', '?', ':', '「', '??', '?容', '」']",3,0,0,1,2
"['??', '心系儿子', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['怀?公主', '施?', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?七安拉住', '他', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?安', '???', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?七安', '神?自若', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?七安', '??', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['姜律中', '一愣', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['姜律中', '解?', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?二叔', '不甚在意', '的', '?', ':', '「', '??', '?容', '」']",3,0,0,1,2
"['??', '?眉', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['宋廷?', '?眉', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?七安', '催促', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['宋廷?', '循循善?', ',', '道', ':', '「', '??', '?容', '」']",3,0,0,5,8
"['?七安', '有些', '牙疼', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?府尹', '心里', '一?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?府尹', '惊呆', '了', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '急切', '追?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?平志', '愣住', '了', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '默默', '??', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['??', '?', '口气', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['??diss', '自己', '丈夫', ',', '道', ':', '「', '??', '?容', '」']",4,0,2,6,9
"['一', '位', '白衣?兄', '感慨', '道', ':', '「', '??', '?容', '」']",4,0,2,6,9
"['?七安', '打?', '??', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '一?彩虹屁?', '?去', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '心里', '一?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '忽然', '?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?新年', '?憾', '??', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安松', '了', '口气', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['另', '一', '名', '?卒', '?道', ':', '「', '??', '?容', '」']",4,0,3,6,9
"['周公子', '猖狂', '大笑', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['褚采薇', '吮吸', '指?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '挑', '了挑眉', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['朱?令', '心里', '想?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?二叔', '下意?', '的?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,1,2
"['?主', '一', '看', '就', '知道', ':', '「', '??', '?容', '」']",4,0,0,3,3
"['李慕白', '生气', '了', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?泰', '微微', '?首', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['李慕白', '和', '?慎勃然大怒', ',', '道', ':', '「', '??', '?容', '」']",4,0,2,6,9
"['?七安', '九十度', '?腰作揖', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['院?', '笑呵呵的', '?茶', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '心里', '一?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['店家', '傻眼', '了', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?二叔', '有些', '不信', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?平志', '教?', '儿子', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?公子', '??', '丫鬟', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['周立', '只能', '承?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['宋廷?', '??', '邀?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['李玉春', '?出', '解?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '?', '了?眉', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '??', '的?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['宋廷?', '微微', '震惊', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安?', '了', '一下眉毛', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '退出', '春?堂', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['李玉春', '吩咐', '吏?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['褚采薇', '想起?', '了', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['她', '也', '???', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,1,1
"['?青', '?心', '求教', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['宋廷?', '一口', '拒?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['宋廷?', '?眉', '告?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['宋廷?', '茫然', '反?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '同?', '冷笑', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '大笑', '?低?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['南?倩柔想', '?人', '了', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '感?', '了', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['老', '吏?', '??', ',', '道', ':', '「', '??', '?容', '」']",4,0,1,6,9
"['?公主', '又', '?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['元景帝', '捏', '了捏眉心', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '炸毛', '了', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?公公', '?', '了?眉', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['她', '板?', '?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['褚采薇', '??', '?瓜', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?府尹', '端起', '茶杯', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '?', '了?眉', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?安', '公主', '挑眉', ',', '道', ':', '「', '??', '?容', '」']",4,0,1,6,9
"['?七安', '?心', '求教', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '亮出', '金牌', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '凝?', '?方丈', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '深吸', '一口气', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '退出', '茶室', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['怀?公主', '耐心', '解?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '打算溜', '了', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['魏?', '?气', '?意', '的', '?', ':', '「', '??', '?容', '」']",4,0,0,1,3
"['?七安', '悉心', '?教', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '下意?', '的?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '悉心', '?教', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['天?婆婆', '急切', '追?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '??', '?息', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安呆坐', '?', '半天', '?', '?', ':', '「', '??', '?容', '」']",4,0,0,3,3
"['?七安', '?口', '解?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '茫然', '反?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '?气', '?和', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '坦然', '回答', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['魏?', '眯', '了眯眼', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '一?', '??', '的', '?', ':', '「', '??', '?容', '」']",4,0,0,1,3
"['?王', '有些', '惊?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?奉', '目光', '??', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '不', '承?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安??', '的', '建?', ',', '道', ':', '「', '??', '?容', '」']",4,0,1,6,9
"['宋廷?', '很', '坦然', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?花魁', '焦急', '催促', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '故作', '高深', '的', '?', ':', '「', '??', '?容', '」']",4,0,0,2,3
"['恒慧嘶?', '的', '?音', ',', '道', ':', '「', '??', '?容', '」']",4,0,2,6,9
"['明?乖?', '的', '回答', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '?色', '??', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '安慰', '她', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['??音', '害怕', '的?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,1,2
"['?七安屁??', '的', '跑?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '低?', '喝茶', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['李玉春', '有些', '?豫', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['周赤雄', '痛哭', '起?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['刑部', '?人', '大慌', ',', '道', ':', '「', '??', '?容', '」']",4,0,1,6,9
"['?七安', '?明', '?意', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '?口', '答?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['南?倩柔酸溜溜', '的', '??', ',', '道', ':', '「', '??', '?容', '」']",4,0,2,6,9
"['?七安', '亮出', '腰牌', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['守?', '很', '硬气', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?尚?', '另', '?突破口', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?房', '?忙', '?手', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['沉默寡言', '的', '朱?孝', '突然', '?', ':', '「', '??', '?容', '」']",4,0,2,3,3
"['??', '??', '眉?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '震惊', '了', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '默默', '?息', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '?即', '溜走', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '?色', '??', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '不', '理解', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '?心', '求教', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['朱?孝', '表?', '疑惑', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['一', '位', '??附和', ',', '道', ':', '「', '??', '?容', '」']",4,0,2,6,9
"['?七安', '提出', '要求', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '含笑', '??', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '?出', '建?', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?袖', '半?真', '半嘲?', '的', '?', ':', '「', '??', '?容', '」']",4,0,0,1,3
"['?七安', '提出', '要求', ',', '道', ':', '「', '??', '?容', '」']",4,0,0,6,9
"['?七安', '盯', '?', '他', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?府尹', '急切', '的', '奔出?堂', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?七安', '哀?', '一', '?', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?七安', '嗑', '?', '瓜子', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?七安', '?', '反?', '??', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?七安', '低?', '不', '炫耀', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?七安', '敲', '了敲', '桌子', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?七安', '擦', '?', '汗', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['朱?令笑呵呵的', '把', '??', '收回袖中', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['老者', '一?', '慈祥', '笑容', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['白衣?弟?', '追', '?', '下?', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?卒', '嘲?', '的', '笑?', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?七安', '忽然', '停住', '?步', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?七安', '已?', '?', '宋卿', '那里', '知道', ':', '「', '??', '?容', '」']",5,0,0,1,1
"['宋卿', '迫切', '的', '追?', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['宋卿', '一下子', '很', '激?', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['宋卿', '激?', '的', '大吼大叫', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?七安', '欣慰', '的', '想', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?公主', '目光', '?望', '??', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?新年', '?傲', '的', '抬起下巴', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?七安', '敲', '了敲', '柜台', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['年?', '的', '女子', '?斥', ',', '道', ':', '「', '??', '?容', '」']",5,0,2,7,10
"['?七安', '表示', '很', '惊?', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?七安', '把', '自己', '的', '主意', '?', ':', '「', '??', '?容', '」']",5,0,0,2,4
"['?七安', '半?玩笑', '半', '?真', '的', '?', ':', '「', '??', '?容', '」']",5,0,0,2,4
"['那位', '?色', '??', '的', '??', '?', ':', '「', '??', '?容', '」']",5,0,4,7,10
"['李玉春', '??', '?', '?七安', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['惜字如金', '的', '朱?孝', '?口', ',', '道', ':', '「', '??', '?容', '」']",5,0,2,7,10
"['?七安', '??', '了', '??', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?七安', '半惊?', '半', '感慨', '的', '?', ':', '「', '??', '?容', '」']",5,0,0,1,4
"['?七安', '比', '他', '更?', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?七安', '?辜', '的', '表情', ',', '道', ':', '「', '??', '?容', '」']",5,0,3,7,10
"['陶??', '被', '他', '的', '反?', '惊道', ':', '「', '??', '?容', '」']",5,2,4,7,10
"['蓄', '?山羊胡', '的', '老?', '大?', '?', ':', '「', '??', '?容', '」']",5,0,3,4,4
"['?七安', '提出', '??', '邀?', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['南?倩柔', '?于', '等到', '机?', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['魏?', '?息', '一', '?', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?公主', '加', '了', '把火', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?七安', '?辜', '的', '表情', ',', '道', ':', '「', '??', '?容', '」']",5,0,3,7,10
"['?七安', '用', '期待', '的', '?气', '?', ':', '「', '??', '?容', '」']",5,0,0,1,4
"['?七安', '微笑', '?', '打招呼', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['姜律中', '把', '自己', '的', '推?', '?', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?王?奈', '的', '笑', '了', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['守城', '的', '羽林?', '回答', ',', '道', ':', '「', '??', '?容', '」']",5,0,2,7,10
"['橘?', '歪', '了', '歪?', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['黑袍', '男子', '嘶?', '的', '?音', '?道', ':', '「', '??', '?容', '」']",5,0,4,7,10
"['?七安', '笑', '?', '??', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?七安', '感?', '?方?里', '有?', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?七安', '一下子', '振?', '起?', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['丫鬟', '吃', '了', '一惊', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?七安', '不', '太', '相信', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?千幻', '沉?', '的', '?气', ',', '道', ':', '「', '??', '?容', '」']",5,0,3,7,10
"['?七安', '惊?', '的', '朝外?望', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['姜律中', '笑', '?', '打趣', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['魏?', '平?', '的', '回复', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['褚采薇', '吃', '?', '??蹄子', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['褚采薇', '?', '听', '清楚', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['姜律中', '忽然', '?嘴', '了', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['三', '位', '金?看?', '他', ',', '道', ':', '「', '??', '?容', '」']",5,0,3,7,10
"['洗菜', '的', '?娘', '搭?', ',', '道', ':', '「', '??', '?容', '」']",5,0,2,7,10
"['?娘?', '惊?', '的', '?', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['低?', '擦拭', '佩刀', '的', '?平志', '?', ':', '「', '??', '?容', '」']",5,0,4,7,10
"['老', '吏?', '有些', '害怕', ',', '道', ':', '「', '??', '?容', '」']",5,0,1,7,10
"['褚采薇', '啄', '了', '啄?袋', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['宋卿', '抽', '了', '抽鼻翼', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?七安', '有些', '?以', '理解', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['??音', '?', '?', '小眉?', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['同?', '不怎么', '?字', '的', '?平志', '?', ':', '「', '??', '?容', '」']",5,0,4,7,10
"['宋廷?', '?持', '要', '?', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['??', '拍', '?', '桌子', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['她', '接?', '又', '低?喃喃', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?女', '???气', '的', '回答', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?七安', '表?', '了', '疑惑', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?巡?', '疑?', '的', '?气', ',', '道', ':', '「', '??', '?容', '」']",5,0,3,7,10
"['?七安', '?', '敢', '打包票', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?腮胡?子', '一口', '答?', '下?', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?巡?', '一??', '的', '??', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?七安', '恨?不成?', '的', '回?', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['?巡?', '?息', '一', '?', ',', '道', ':', '「', '??', '?容', '」']",5,0,0,7,10
"['一', '位', '官?', '下意?', '的', '?', ':', '「', '??', '?容', '」']",5,0,2,3,4
"['?二叔', '怀疑', '自己', '听?', '了', ',', '道', ':', '「', '??', '?容', '」']",6,0,0,8,11
"['?七安', '回?', '吃惊', '的', '同僚?', ',', '道', ':', '「', '??', '?容', '」']",6,0,0,8,11
"['他', '搜刮肚?', '的', '想', '?法', ',', '道', ':', '「', '??', '?容', '」']",6,0,0,8,11
"['?七安', '在', '心里', '告?', '自己', ',', '道', ':', '「', '??', '?容', '」']",6,0,0,8,11
"['?七安', '心里', '?息', '一', '?', ',', '道', ':', '「', '??', '?容', '」']",6,0,0,8,11
"['王捕???咧咧', '的', '?出', '了', '?衙', ',', '道', ':', '「', '??', '?容', '」']",6,0,0,8,11
"['刑部', '?事中', '??', '??', '了', ',', '道', ':', '「', '??', '?容', '」']",6,0,0,8,11
"['李慕白', '笑呵呵的', '?', '?', '山羊?', ',', '道', ':', '「', '??', '?容', '」']",6,0,0,8,11
"['?七安', '有些', '羡慕花里胡哨', '的', '?士', ',', '道', ':', '「', '??', '?容', '」']",6,0,0,1,4
"['?七安', '?手', '把', '?主', '赶走', ',', '道', ':', '「', '??', '?容', '」']",6,0,0,8,11
