WordSequence,Predicate,StartOfDialogueAgent,EndOfDialogueAgent,StartOfDialogue,EndOfDialogue
"['许七安道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '半惊讶', '半', '感慨', '的', '说', ':', '「', '对话', '内容', '」']",5,0,0,1,4
"['许七安', '感慨', '道', ':', '「', '对话', '内容', '」']",2,0,0,1,1
"['李玉春', '颔首', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['银锣问', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['李宇春', '道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许七安', '退出', '春风堂', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许七安', '皱眉沉思', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许七安', '比', '他', '更刚', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
"['许七安不悦道', ':', '「', '对话', '内容', '」']",,,,,
"['黑衣', '男人', '嗓音', '低沉', '的', '回应', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['老翁', '声音', '嘶哑', '的', '仿佛', '来自', '地狱', '的', '魔鬼', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '一时', '顺口喊', '了', '出来', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
"['许七安', '补充', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['李玉春', '道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['金莲老道', ':', '「', '对话', '内容', '」']",,,,,
"['金莲老道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '反问', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['金莲老道', ':', '「', '对话', '内容', '」']",,,,,
"['金莲道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安点点头', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['许七安把金莲道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '回答', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许七安', '无辜', '的', '表情', ',', '道', ':', '「', '对话', '内容', '」']",5,0,3,7,10
"['许七安', '眼睛', '一', '亮', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['李玉春', '吩咐', '吏员', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许七安问', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['许七安笑道', ':', '「', '对话', '内容', '」']",,,,,
"['许玲月', '笑靥如花', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['宋廷风急切', '道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['宋廷风', '的', '声音', '传来', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['司天监', '的', '白衣们', '不咸不淡', '的', '回复', ',', '道', ':', '「', '对话', '内容', '」']",7,0,2,9,12
"['许七安顺口', '就', '喊', '出来', '了', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
"['宋廷风', '小声', '道', ':', '「', '对话', '内容', '」']",2,0,0,1,1
"['宋廷风', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许七安', '提议', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['吏员', '回答', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['杨砚', '反问', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['魏渊', '喝道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许七安', '低头', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许七安', '大声', '说', ':', '「', '对话', '内容', '」']",2,0,0,1,1
"['那位', '银锣笑着', '招', '了', '招手', ',', '道', ':', '「', '对话', '内容', '」']",6,0,1,8,11
"['陶银锣', '被', '他', '的', '反应', '惊道', ':', '「', '对话', '内容', '」']",5,2,4,7,10
"['一', '位', '铜锣', '用', '刀鞘拍', '了', '一下', '宋廷风', '的', '大腿', ',', '道', ':', '「', '对话', '内容', '」']",11,0,2,13,16
"['铜锣们', '期待', '的', '看', '着', '他', ',', '道', ':', '「', '对话', '内容', '」']",7,0,0,9,12
"['宋廷风', '哈哈大笑', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['姜金锣沉声', '道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['陶满如实相告', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['姜金锣', '不带喜怒', '的', '说', ':', '「', '对话', '内容', '」']",3,0,0,1,2
"['李玉春', '简短', '的', '交代', '了', '事情', '的', '经过', ',', '道', ':', '「', '对话', '内容', '」']",9,0,0,11,14
"['宋廷风', '拍', '了', '拍', '许七安', '的', '肩膀', ',', '道', ':', '「', '对话', '内容', '」']",8,0,0,10,13
"['南宫倩柔不信', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['二叔', '爽朗', '的', '笑声', '卡', '在', '喉咙', '里', ',', '道', ':', '「', '对话', '内容', '」']",9,0,3,11,14
"['许二叔', '打消', '了', '教训', '侄儿', '的', '念头', ',', '道', ':', '「', '对话', '内容', '」']",8,0,0,10,13
"['许二叔', '把', '剥开', '没吃', '的', '那', '只', '橘子', '递', '过去', ',', '道', ':', '「', '对话', '内容', '」']",11,0,0,13,16
"['蓄', '着山羊胡', '的', '老张', '大声', '说', ':', '「', '对话', '内容', '」']",5,0,3,4,4
"['许七安', '回应', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许七安', '诧异', '道', ':', '「', '对话', '内容', '」']",2,0,0,1,1
"['许七安', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['褚采薇', '质疑', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['褚采薇', '吃', '了', '一', '块', '糕点', ',', '道', ':', '「', '对话', '内容', '」']",7,0,0,9,12
"['许七安', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许七安', '讥笑', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['魏渊恭敬行礼', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['魏渊', '问道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许七安道', ':', '「', '对话', '内容', '」']",,,,,
"['苍老', '的', '声音', '传来', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['魏渊', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['监正', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['魏渊', '摇头', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['魏青衣道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '提出', '约会', '邀请', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
"['褚采薇', '想起来', '了', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['她', '也', '点点头', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,1,1
"['长公主', '声音', '清冷悦耳', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['长公主', '换', '了', '个', '话题', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
"['恒远', '大师', '低声', '道', ':', '「', '对话', '内容', '」']",3,0,1,2,2
"['宋廷风', '和', '朱广孝', '眼睛', '一', '亮', ',', '道', ':', '「', '对话', '内容', '」']",7,0,2,9,12
"['许七安', '低声', '说', ':', '「', '对话', '内容', '」']",2,0,0,1,1
"['许七安撇嘴', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['许七安问', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['女主人', '把', '孩子', '揽', '在', '怀里', ',', '道', ':', '「', '对话', '内容', '」']",7,0,0,9,12
"['许七安', '绕', '着', '死者', '走', '了', '一', '圈', ',', '道', ':', '「', '对话', '内容', '」']",9,0,0,11,14
"['吕青', '虚心', '求教', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许七安问', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['吕青', '在', '心里', '惋惜', '的', '叹口气', ',', '道', ':', '「', '对话', '内容', '」']",7,0,0,9,12
"['妇人', '也', '记不', '太', '清楚', '了', ',', '道', ':', '「', '对话', '内容', '」']",7,0,0,9,12
"['宋廷风', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['周百户', '难掩惊讶', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许七安道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['宋廷风', '一口', '拒绝', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['朱广孝', '揭穿', '了', '多年', '好友', '的', '龌龊', '心思', ',', '道', ':', '「', '对话', '内容', '」']",9,0,0,11,14
"['宋廷风', '皱眉', '告诫', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许七安', '敷衍回应', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许七安问', '不远处', '的', '两', '位', '同僚', ',', '道', ':', '「', '对话', '内容', '」']",7,0,5,9,12
"['宋廷风急', '了', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['杨砚沉声', '道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['宋廷风', '茫然', '反问', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['一', '位', '铜锣', '说', ':', '「', '对话', '内容', '」']",3,0,2,5,8
"['许七安道', ':', '「', '对话', '内容', '」']",,,,,
"['有人', '冷笑一声', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '同样', '冷笑', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['南宫倩柔', '终于', '等到', '机会', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
"['魏渊', '叹息', '一', '声', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
"['南宫倩柔', '问道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许七安', '没有', '否认', ',道', ':', '「', '对话', '内容', '」']",,,,,
"['浮香', '懊悔', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['许七安', '笑了笑', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许七安', '大笑', '着低头', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['李玉春', '把', '下发', '到', '他', '这里', '的', '文书', '给', '三', '人', '看', ',', '道', ':', '「', '对话', '内容', '」']",13,0,0,15,18
"['许七安', '试探道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['身后', '有人', '说', ':', '「', '对话', '内容', '」']",1,0,0,4,7
"['他', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许七安', '愧疚', '道', ':', '「', '对话', '内容', '」']",2,0,0,1,1
"['宋廷风', '脸色一变', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['朱广孝沉声', '道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['朱银锣', '脸色', '阴沉', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['李玉春', '问道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['李玉春', '告诫', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['宋廷风', '嘴唇干涩', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['朱金锣声音', '骤然拔高', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['领', '着', '他', '来', '的', '银锣回复', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['魏渊道', ':', '「', '对话', '内容', '」']",,,,,
"['魏渊摆摆手', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['魏渊', '反问', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['李玉春', '声音', '洪亮', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['有人', '小声', '问道', ':', '「', '对话', '内容', '」']",,,,,
"['狱卒', '喝道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['南宫倩柔想', '杀人', '了', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许七安道', ':', '「', '对话', '内容', '」']",,,,,
"['许新年', '吐出', '一', '口', '浊气', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['许新年', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许七安', '感动', '了', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许新年', '回答', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['狱头', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许辞旧沉声道', ':', '「', '对话', '内容', '」']",,,,,
"['许辞旧', '打算', '使用', '杀手锏', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['宫女', '领命', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['孩子', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['老', '吏员', '摇头', ',', '道', ':', '「', '对话', '内容', '」']",4,0,1,6,9
"['长公主', '又', '问', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['侍卫长', '回复', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['元景帝', '捏', '了捏眉心', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['长公主', '清丽', '的', '眉眼', '透着', '威严', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['长公主', '言简意赅', '的', '说', ':', '「', '对话', '内容', '」']",3,0,0,1,2
"['长公主', '加', '了', '把火', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
"['许七安', '骂骂咧咧', '的', '在', '囚服', '上', '擦', '了擦手', ',', '道', ':', '「', '对话', '内容', '」']",9,0,0,1,2
"['许新年道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '吩咐', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['许七安道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许七安', '试探道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['众人', '齐声道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安道', ':', '「', '对话', '内容', '」']",,,,,
"['李玉春', '不解道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '无辜', '的', '表情', ',', '道', ':', '「', '对话', '内容', '」']",5,0,3,7,10
"['那位', '报信', '的铜锣说', ':', '「', '对话', '内容', '」']",,,,,
"['许七安眉毛倒竖', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['许七安', '炸毛', '了', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['他', '大吼', '道', ':', '「', '对话', '内容', '」']",2,0,0,1,1
"['吕青沉声道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安点点头', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['吕青', '也', '是', '去', '桑泊', '勘察', '过', '现场', '的', ',', '道', ':', '「', '对话', '内容', '」']",10,0,0,12,15
"['许七安道', ':', '「', '对话', '内容', '」']",,,,,
"['闵山', '问道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['刘公公', '皱', '了皱眉', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['吕青', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['吕青', '回答', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['吕青道', ':', '「', '对话', '内容', '」']",,,,,
"['做', '笔录', '的', '小', '宦官', '领命', ',', '道', ':', '「', '对话', '内容', '」']",7,0,4,9,12
"['许七安', '回', '了', '她', '一眼', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
"['她', '板着', '脸', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['褚采薇', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许七安', '用', '肘子', '捅', '了', '她', '一下', ',', '道', ':', '「', '对话', '内容', '」']",8,0,0,10,13
"['李宇春沉声', '道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许七安', '看', '了', '眼', '褚采薇', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
"['杨峰', '吐出', '一', '口', '浊气', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
"['元景帝', '语气', '平淡', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['刘公公', '从', '袖子', '里', '取出', '一', '本', '薄薄的册子', ',', '道', ':', '「', '对话', '内容', '」']",9,0,0,11,14
"['元景帝', '怪责道', ':', '「', '对话', '内容', '」']",,,,,
"['许平志道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '诧异', '二叔', '的', '反应', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
"['许七安', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['元景帝', '沉声', '道', ':', '「', '对话', '内容', '」']",2,0,0,1,1
"['许二叔道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '骂骂咧咧', '的', '走', '了', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
"['魏渊', '笑道', ':', '「', '对话', '内容', '」']",,,,,
"['褚采薇', '点点', '脑瓜', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许七安道', ':', '「', '对话', '内容', '」']",,,,,
"['褚采薇', '问', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许七安', '给出', '一个', '暖男', '的', '微笑', ',', '道', ':', '「', '对话', '内容', '」']",7,0,0,9,12
"['许七安问', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['褚采薇', '得意洋洋的', '说', ':', '「', '对话', '内容', '」']",2,0,0,1,1
"['许七安', '开门见山', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['褚采薇', '的', '回答', '让', '许七安', '感觉', '血液', '都', '沸腾', '了', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['魏渊', '语重心长', '的', '说', ':', '「', '对话', '内容', '」']",3,0,0,1,2
"['魏渊', '叹息', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['李玉春', '看', '了', '眼', '原本', '是', '自己', '下属', '现在', '自己', '成', '了', '他', '下属', '的', '下属', ',', '道', ':', '「', '对话', '内容', '」']",17,0,0,19,22
"['朱退之怒目相视', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['狱卒', '用', '棍子', '敲打', '栅栏', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
"['许七安', '开门见山', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['陈府尹', '大惊失色', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['陈府尹', '端起', '茶杯', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许七安道', ':', '「', '对话', '内容', '」']",,,,,
"['陈府尹', '沉声', '道', ':', '「', '对话', '内容', '」']",2,0,0,1,1
"['许七安', '恭维道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '高声道', ':', '「', '对话', '内容', '」']",,,,,
"['年纪', '与', '许七安', '差不多', '的', '七皇子', '问道', ':', '「', '对话', '内容', '」']",6,0,5,8,11
"['太子', '摇摇头', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许七安', '差点', '控制', '不住', '自己', '的', '表情', ',', '道', ':', '「', '对话', '内容', '」']",8,0,0,10,13
"['许七安道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安道', ':', '「', '对话', '内容', '」']",,,,,
"['二', '公主', '惊叫', '着', '砸入', '湖中', ',', '道', ':', '「', '对话', '内容', '」']",7,0,1,9,12
"['许七安', '皱', '了皱眉', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['长公主', '当即', '问道', ':', '「', '对话', '内容', '」']",2,0,0,1,1
"['侍卫长', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许七安', '诚恳', '道', ':', '「', '对话', '内容', '」']",2,0,0,1,1
"['临安', '公主', '挑眉', ',', '道', ':', '「', '对话', '内容', '」']",4,0,1,6,9
"['许七安', '不卑不亢', '的', '说', ':', '「', '对话', '内容', '」']",3,0,0,1,2
"['许七安', '诚恳', '道', ':', '「', '对话', '内容', '」']",2,0,0,1,1
"['许七安叹', '口气', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['李玉春', '道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许七安', '虚心', '求教', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许七安', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许七安', '问道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['褚采薇娇呼一', '声', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许七安', '把', '昨天', '的', '事', '讲给', '大眼睛', '姑娘', '听', ',', '道', ':', '「', '对话', '内容', '」']",10,0,0,12,15
"['许七安', '亮出', '金牌', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['侍卫头子', '好言好语', '的', '说', ':', '「', '对话', '内容', '」']",3,0,0,1,2
"['许七安', '笑', '着', '试探道', ':', '「', '对话', '内容', '」']",,,,,
"['她', '委屈', '的', '说', ':', '「', '对话', '内容', '」']",3,0,0,1,2
"['众人', '身后', '传来', '清脆', '的', '嗓音', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['少女', '语气', '很', '冲', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '把', '香囊', '收到', '怀里', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
"['李玉春', '皱眉道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '目光锐利', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安皮笑肉不笑', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['许七安', '黯淡', '道', ':', '「', '对话', '内容', '」']",2,0,0,1,1
"['许七安宽慰', '道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['盘树方丈叹口气', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['许七安', '提醒', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['盘树方丈语气温和', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['方丈', '摇头', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['盘树方丈', '回答', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许七安', '凝视', '着方丈', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许七安', '给予', '肯定', '的', '答复', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
"['许七安', '深吸', '一口气', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['魏渊冷冷道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '退出', '茶室', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['怀庆公主', '耐心', '解释', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['两', '位', '公主', '同时', '出声', ',', '道', ':', '「', '对话', '内容', '」']",6,0,2,3,3
"['许七安', '叹息', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['许七安', '真诚', '的', '凝视', '着', '二', '公主', ',', '道', ':', '「', '对话', '内容', '」']",8,0,0,10,13
"['许七安', '打算溜', '了', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['许七安', '无奈', '道', ':', '「', '对话', '内容', '」']",2,0,0,1,1
"['元景帝', '训斥灵龙', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['元景帝', '喝道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['元景帝', '大喊', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许七安道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安躬身抱拳', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['魏渊', '语气', '随意', '的', '说', ':', '「', '对话', '内容', '」']",4,0,0,1,3
"['元景帝', '骂道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '试探道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许七安道', ':', '「', '对话', '内容', '」']",,,,,
"['魏渊', '笑道', ':', '「', '对话', '内容', '」']",,,,,
"['魏渊道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '悉心', '请教', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['魏渊赞许道', ':', '「', '对话', '内容', '」']",,,,,
"['魏渊不', '忘', '给', '他', '灌输', '知识', ',', '道', ':', '「', '对话', '内容', '」']",7,0,0,9,12
"['李玉春', '问道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许七安', '回答', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['活力四射', '的', '临安', '公主', '皱', '了皱眉', ',', '道', ':', '「', '对话', '内容', '」']",7,0,3,9,12
"['太子', '提起', '了', '下午', '发生', '的', '事', ',', '道', ':', '「', '对话', '内容', '」']",8,0,0,10,13
"['太子', '接话', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许七安', '吩咐', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['婶婶', '看', '了', '二叔', '一样', ',', '道', ':', '「', '对话', '内容', '」']",6,0,0,8,11
"['婶婶', '唉声叹气', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许二叔', '满不在乎', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['许玲月', '惊呼', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['许二叔', '茫然', '问道', ':', '「', '对话', '内容', '」']",2,0,0,1,1
"['门房老张', '喜悦', '的', '说', ':', '「', '对话', '内容', '」']",3,0,0,1,2
"['许七安', '用', '期待', '的', '语气', '说', ':', '「', '对话', '内容', '」']",5,0,0,1,4
"['婶婶', '一指头戳', '的', '许玲月', '一个', '踉跄', ',', '道', ':', '「', '对话', '内容', '」']",7,0,3,9,12
"['许七安', '哼哼', '道', ':', '「', '对话', '内容', '」']",2,0,0,1,1
"['许七安', '提议', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安耸耸肩', ',', '道', ':', '「', '对话', '内容', '」']",2,0,0,4,7
"['婶婶', '翻', '了', '个', '妩媚', '的', '白眼', ',', '道', ':', '「', '对话', '内容', '」']",8,0,0,10,13
"['许七安', '说', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['许七安', '微笑', '着', '打招呼', ',', '道', ':', '「', '对话', '内容', '」']",5,0,0,7,10
"['许七安沉声', '道', ':', '「', '对话', '内容', '」']",1,0,0,3,6
"['金莲道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '反问', ',', '道', ':', '「', '对话', '内容', '」']",3,0,0,5,8
"['金莲道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '下意识', '的问', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['老道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '悉心', '请教', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
"['金莲道', ':', '「', '对话', '内容', '」']",,,,,
"['许七安', '眼睛', '顿时', '一', '亮', ',', '道', ':', '「', '对话', '内容', '」']",,,,,
"['天蛊婆婆', '急切', '追问', ',', '道', ':', '「', '对话', '内容', '」']",4,0,0,6,9
